Country,Year,Cases,Deaths,name,Lon,Lat,population,Pandemic
Afghanistan,2020,363,3,Afghanistan,66.00473366,33.83523073,35383028.0,covid19
Albania,2020,851,26,Albania,20.04983396,41.14244989,2886427.0,covid19
Algeria,2020,1485,113,Algeria,2.61732301,28.15893849,40551398.0,covid19
Andorra,2020,720,3,Andorra,1.56054378,42.54229102,77295.0,covid19
Angola,2020,11,0,Angola,17.53736768,-12.29336054,28842482.000000004,covid19
Antigua and Barbuda,2020,16,0,,,,94520.0,covid19
Argentina,2020,1707,41,Argentina,-65.17980692,-35.3813488,43508459.0,covid19
Armenia,2020,1370,0,Armenia,44.92993276,40.28952569,2936147.0,covid19
Aruba,2020,19,0,Aruba,-69.98267711,12.52088038,104865.0,covid19
Australia,2020,11286,93,Australia,134.49100008,-25.73288704,24262710.0,covid19
Austria,2020,27808,99,Austria,14.1264761,47.58549439,8747306.0,covid19
Azerbaijan,2020,574,12,Azerbaijan,47.54599879,40.28827235,9736041.0,covid19
Bahamas,2020,26,0,Bahamas,-76.62843038,24.29036702,377923.0,covid19
Bahrain,2020,4526,13,Bahrain,50.54196932,26.04205135,1425793.0,covid19
Bangladesh,2020,219,14,Bangladesh,90.23812743,23.86731158,157977150.99999997,covid19
Barbados,2020,69,0,Barbados,-59.559796999999996,13.18145428,285798.0,covid19
Belarus,2020,709,0,Belarus,28.03209307,53.53131377,9445638.0,covid19
Belgium,2020,25935,456,Belgium,4.64065114,50.63981576,11354407.0,covid19
Belize,2020,2,0,Belize,-88.71010486,17.20027509,368399.0,covid19
Benin,2020,23,0,Benin,2.32785254,9.6417597,10872072.0,covid19
Bhutan,2020,24,0,Bhutan,90.40188155,27.41106589,736706.0,covid19
Bolivia (Plurinational State of),2020,187,0,,,,11031822.0,covid19
Bosnia and Herzegovina,2020,849,6,,,,3386263.0,covid19
Brazil,2020,9720,141,Brazil,-53.09783113,-10.78777702,206163056.0,covid19
Brunei Darussalam,2020,848,0,,,,419791.0,covid19
Bulgaria,2020,1342,31,Bulgaria,25.21552909,42.76890318,7151948.0,covid19
Burkina Faso,2020,487,17,Burkina Faso,-1.75456601,12.26953846,18646350.0,covid19
Cabo Verde,2020,14,1,,,,531140.0,covid19
Cambodia,2020,550,0,Cambodia,104.90694325,12.72004786,15766290.0,covid19
Cameroon,2020,264,0,Cameroon,12.73964156,5.69109849,23926549.0,covid19
Canada,2020,12502,136,Canada,-98.30777028,61.36206324,36382942.0,covid19
Cayman Islands,2020,3,0,,,,62563.99999999999,covid19
Central African Republic,2020,20,0,,,,4537683.0,covid19
Chad,2020,8,0,Chad,18.64492513,15.33333758,14561658.000000002,covid19
Channel Islands,2020,1,0,,,,166922.0,covid19
Chile,2020,4370,5,Chile,-71.38256213,-37.73070989,18209072.0,covid19
China,2020,3606533,122579,China,103.81907349,36.56176546,1414049353.0,covid19
"China, Hong Kong SAR",2020,5646,114,,,,7243541.0,covid19
"China, Macao SAR",2020,638,0,,,,612824.0000000001,covid19
"China, Taiwan Province of China",2020,2582,43,,,,23618201.0,covid19
Colombia,2020,1618,8,Colombia,-73.08114582,3.91383431,48175047.99999999,covid19
Congo,2020,25,0,Congo,15.21965762,-0.83787463,4980996.0,covid19
Costa Rica,2020,1006,10,Costa Rica,-84.19208768,9.97634464,4899335.999999999,covid19
Croatia,2020,1872,6,Croatia,16.40412899,45.08047631,4208611.0,covid19
Cuba,2020,202,7,Cuba,-79.01605384,21.62289528,11335108.0,covid19
Cura̤ao,2020,2,0,Cura̤ao,-68.97119369,12.19551675,,covid19
Cyprus,2020,764,5,Cyprus,33.0060022,34.91667211,1170188.9999999998,covid19
Czechia,2020,8369,5,,,,10618868.0,covid19
C̫te d'Ivoire,2020,162,0,C̫te d'Ivoire,-5.5692157,7.6284262,,covid19
Democratic Republic of the Congo,2020,183,5,,,,78789130.0,covid19
Denmark,2020,15905,111,Denmark,10.02800992,55.98125296,5711346.0,covid19
Djibouti,2020,11,0,Djibouti,42.560675399999994,11.74871806,929117.0,covid19
Dominica,2020,5,0,Dominica,-61.357726,15.439470199999999,71307.0,covid19
Dominican Republic,2020,1091,20,,,,10397738.000000002,covid19
Ecuador,2020,4349,84,Ecuador,-78.75201922,-1.42381612,16491116.000000002,covid19
Egypt,2020,3118,100,Egypt,29.86190099,26.49593311,94447071.0,covid19
El Salvador,2020,16,0,El Salvador,-88.87164469,13.73943744,6356137.0,covid19
Equatorial Guinea,2020,49,0,,,,1215181.0,covid19
Eritrea,2020,4,0,Eritrea,38.84617011,15.36186618,3376558.0,covid19
Estonia,2020,3052,0,Estonia,25.54248537,58.67192972,1316507.0,covid19
Eswatini,2020,20,0,,,,1113994.0,covid19
Ethiopia,2020,77,0,Ethiopia,39.60080098,8.62278679,103603461.0,covid19
Faroe Islands,2020,10,0,,,,48173.0,covid19
Fiji,2020,12,0,Fiji,165.45195432,-17.42858032,872406.0000000001,covid19
Finland,2020,5363,4,Finland,26.274665600000002,64.49884603,5497714.0,covid19
France,2020,144802,4825,France,-2.76172945,42.17344011,64667590.0,covid19
French Guiana,2020,117,0,,,,267824.0,covid19
Gabon,2020,29,5,Gabon,11.7886287,-0.58660025,2007882.0,covid19
Gambia,2020,11,2,Gambia,-15.39601295,13.44965244,2149134.0,covid19
Georgia,2020,629,0,Georgia,43.50780252,42.16855755,4015457.0000000005,covid19
Germany,2020,198142,675,Germany,10.38578051,51.10698181,82193770.0,covid19
Ghana,2020,178,6,Ghana,-1.21676566,7.95345644,28481947.0,covid19
Gibraltar,2020,7,0,,,,33738.0,covid19
Greece,2020,5987,101,Greece,22.95555794,39.07469623,10615183.0,covid19
Greenland,2020,3,0,Greenland,-41.34191127,74.71051289,56408.0,covid19
Grenada,2020,3,0,Grenada,-61.68220189,12.11725044,110262.99999999999,covid19
Guadeloupe,2020,187,0,,,,399760.0,covid19
Guam,2020,6,0,Guam,144.76791022,13.44165626,162947.99999999997,covid19
Guatemala,2020,114,9,Guatemala,-90.36482009,15.69403664,16583078.999999998,covid19
Guernsey,2020,3,0,Guernsey,-2.57239064,49.46809761,,covid19
Guinea,2020,20,0,Guinea,-10.94066612,10.43621593,11738434.0,covid19
Guyana,2020,89,13,Guyana,-58.98202459,4.79378034,771363.0,covid19
Haiti,2020,19,0,Haiti,-72.68527509,18.93502563,10839976.0,covid19
Holy See,2020,18,0,,,,790.9999999999999,covid19
Honduras,2020,177,0,Honduras,-86.6151661,14.82688165,9270794.0,covid19
Hungary,2020,1035,34,Hungary,19.39559116,47.16277506,9752970.0,covid19
Iceland,2020,4667,13,Iceland,-18.57396167,64.99575386,332209.0,covid19
India,2020,3408,56,India,79.61197609999999,22.88578212,1324517250.0,covid19
Indonesia,2020,3860,292,Indonesia,117.24011366,-2.21505456,261556386.00000003,covid19
Iran (Islamic Republic of),2020,278992,16870,,,,79563991.0,covid19
Iraq,2020,2806,224,Iraq,43.74353149,33.03970582,36610632.00000001,covid19
Ireland,2020,6651,39,Ireland,-8.13793569,53.17544870000001,4695790.0,covid19
Israel,2020,8840,6,Israel,35.00444693,31.46110101,8108984.0,covid19
Italy,2020,571928,46856,Italy,12.07001339,42.79662641,60663068.0,covid19
Jamaica,2020,170,6,Jamaica,-77.31482593,18.15694878,2906242.0,covid19
Japan,2020,18885,500,Japan,138.03089558,37.59230135,127763267.0,covid19
Jersey,2020,6,0,Jersey,-2.12689938,49.21837377,,covid19
Jordan,2020,755,0,Jordan,36.77136104,31.24579091,9554286.0,covid19
Kazakhstan,2020,436,3,Kazakhstan,67.29149357,48.15688067,17830902.0,covid19
Kenya,2020,91,0,Kenya,37.79593973,0.59988022,49051530.99999999,covid19
Kosovo,2020,14,0,Kosovo,20.87249811,42.57078707,,covid19
Kuwait,2020,2652,0,Kuwait,47.58700459,29.33431262,3956862.0,covid19
Kyrgyzstan,2020,98,0,Kyrgyzstan,74.54165513,41.46221943,6074326.999999999,covid19
Lao People's Democratic Republic,2020,2,0,,,,6845848.000000001,covid19
Latvia,2020,1106,0,Latvia,24.91235983,56.85085163,1974265.0,covid19
Lebanon,2020,2323,49,Lebanon,35.88016072,33.92306631,6714281.0,covid19
Liberia,2020,20,0,Liberia,-9.32207573,6.45278492,4586788.0,covid19
Libya,2020,1,0,Libya,18.00866169,27.03094495,6492160.0,covid19
Liechtenstein,2020,289,0,Liechtenstein,9.53574312,47.13665835,37655.0,covid19
Lithuania,2020,798,5,Lithuania,23.88719355,55.32610984,2889555.0,covid19
Luxembourg,2020,4872,46,Luxembourg,6.07182201,49.76725361,579266.0,covid19
Madagascar,2020,38,0,Madagascar,46.70473674,-19.37189587,24894370.0,covid19
Malaysia,2020,12033,53,Malaysia,109.69762284,3.78986846,30684652.0,covid19
Maldives,2020,179,0,Maldives,73.45713004,3.7287092000000004,475505.0,covid19
Malta,2020,680,0,Malta,14.40523316,35.92149632,436099.0,covid19
Martinique,2020,172,6,,,,376789.0,covid19
Mauritania,2020,17,0,Mauritania,-10.34779815,20.25736706,4163532.0,covid19
Mauritius,2020,138,7,Mauritius,57.57120551,-20.27768704,1261870.0,covid19
Mayotte,2020,21,0,,,,246460.0,covid19
Mexico,2020,1809,13,Mexico,-102.52345169,23.94753724,123333379.0,covid19
Monaco,2020,139,0,Monaco,7.40627677,43.75274627,38070.0,covid19
Mongolia,2020,70,0,Mongolia,103.05299765,46.82681544,3056357.9999999995,covid19
Montenegro,2020,129,2,Montenegro,19.23883939,42.78890259,627271.0,covid19
Morocco,2020,859,32,Morocco,-8.45615795,29.83762955,35126274.0,covid19
Mozambique,2020,5,0,Mozambique,35.53367543,-17.27381643,27829930.0,covid19
Namibia,2020,33,0,Namibia,17.20963567,-22.13032568,2358044.0,covid19
Nepal,2020,62,0,Nepal,83.91582640000001,28.24891365,27263430.0,covid19
Netherlands,2020,34215,1181,Netherlands,5.28144793,52.100789899999995,16981285.0,covid19
New Zealand,2020,582,0,New Zealand,171.48492347,-41.81113557,4659265.0,covid19
Nicaragua,2020,10,0,Nicaragua,-85.0305297,12.84709429,6303970.0,covid19
Niger,2020,10,0,Niger,9.38545882,17.41912493,20788789.0,covid19
Nigeria,2020,193,2,Nigeria,8.08943895,9.59411452,185960243.99999997,covid19
North Ireland,2020,1,0,,,,,covid19
North Macedonia,2020,762,5,,,,2080746.0,covid19
Norway,2020,23756,68,Norway,15.34834656,68.75015572,5250950.0,covid19
Oman,2020,693,0,Oman,56.09166155,20.60515333,4479217.000000001,covid19
Others,2020,26228,189,,,,,covid19
Pakistan,2020,5203,25,Pakistan,69.33957937,29.9497515,203631356.00000003,covid19
Palestine,2020,86,0,Palestine,35.19628705,31.91613893,,covid19
Panama,2020,1753,23,Panama,-80.11915156,8.51750797,4037073.0,covid19
Papua New Guinea,2020,5,0,Papua New Guinea,145.20744752,-6.46416646,8271766.0,covid19
Paraguay,2020,172,5,Paraguay,-58.40013703,-23.22823913,6777878.000000001,covid19
Peru,2020,2469,25,Peru,-74.38242685,-9.15280381,30926036.0,covid19
Philippines,2020,3266,255,Philippines,122.88393253,11.77536778,103663811.99999999,covid19
Poland,2020,4697,63,Poland,19.39012835,52.12759564,37989218.0,covid19
Portugal,2020,11129,94,Portugal,-8.50104361,39.59550671,10325540.0,covid19
Puerto Rico,2020,3,0,Puerto Rico,-66.47307604,18.22813055,3283120.9999999995,covid19
Qatar,2020,5947,0,Qatar,51.18479632,25.30601188,2654379.0000000005,covid19
Republic of Korea,2020,190800,1670,,,,50983446.0,covid19
Republic of Moldova,2020,658,7,,,,4066013.0,covid19
Reunion,2020,137,0,,,,,covid19
Romania,2020,3894,21,Romania,24.97293039,45.85243127,19796280.0,covid19
Russian Federation,2020,2769,6,,,,145275374.0,covid19
Rwanda,2020,159,0,Rwanda,29.91988515,-1.99033832,11668829.0,covid19
Saint Barth̩lemy,2020,17,0,,,,,covid19
Saint Lucia,2020,23,0,Saint Lucia,-60.96969923,13.89479481,180028.0,covid19
Saint Martin (French part),2020,4,0,,,,36061.0,covid19
Saint Vincent and the Grenadines,2020,11,0,,,,109467.00000000001,covid19
San Marino,2020,1911,160,San Marino,12.45922334,43.94186747,33503.0,covid19
Saudi Arabia,2020,3732,1,Saudi Arabia,44.53686271,24.12245841,32443443.0,covid19
Senegal,2020,512,0,Senegal,-14.4734924,14.36624173,14993514.0,covid19
Serbia,2020,1555,10,Serbia,20.78958334,44.2215032,8853963.0,covid19
Seychelles,2020,56,0,Seychelles,55.47603279,-4.66099094,95711.0,covid19
Singapore,2020,7627,8,Singapore,103.81725592,1.35876087,5653625.0,covid19
Slovakia,2020,1424,4,Slovakia,19.47905218,48.70547528,5442001.0,covid19
Slovenia,2020,3915,17,Slovenia,14.80444238,46.11554772,2074205.0,covid19
Somalia,2020,9,0,Somalia,45.70714487,4.75062876,14185635.0,covid19
South Africa,2020,2221,0,South Africa,25.08390093,-29.00034095,56207649.00000001,covid19
Spain,2020,232288,12448,Spain,-3.64755047,40.24448698,46634130.99999999,covid19
Sri Lanka,2020,696,0,Sri Lanka,80.70108238,7.61266509,21021177.000000004,covid19
State of Palestine,2020,25,0,,,,4635644.0,covid19
Sudan,2020,20,12,Sudan,29.94046812,15.99035669,39847433.0,covid19
Suriname,2020,31,0,Suriname,-55.9123457,4.13055413,564883.0,covid19
Sweden,2020,19873,160,Sweden,16.74558049,62.77966519,9836003.0,covid19
Switzerland,2020,58069,635,Switzerland,8.20867471,46.79785878,8379915.000000001,covid19
Syrian Arab Republic,2020,3,0,,,,17465567.0,covid19
Thailand,2020,5583,27,Thailand,101.0028813,15.11815794,68971313.0,covid19
Timor-Leste,2020,4,0,Timor-Leste,125.84438982,-8.82889162,1219289.0,covid19
Togo,2020,93,0,Togo,0.96232845,8.52531356,7509951.999999999,covid19
Trinidad and Tobago,2020,245,0,Trinidad and Tobago,-61.26567923,10.45733408,1377562.9999999998,covid19
Tunisia,2020,583,13,Tunisia,9.55288359,34.11956246,11303942.0,covid19
Turkey,2020,6039,129,Turkey,35.16895346,39.0616029,79827868.0,covid19
Uganda,2020,20,0,Uganda,32.36907971,1.27469299,39649172.99999999,covid19
Ukraine,2020,389,25,Ukraine,31.38326469,48.99656673,44713708.0,covid19
United Arab Emirates,2020,2411,10,United Arab Emirates,54.300167099999996,23.90528188,9360975.0,covid19
United Kingdom,2020,44503,1859,United Kingdom,-2.86563164,54.12387156,66297944.0,covid19
United Republic of Tanzania,2020,59,0,,,,53049231.0,covid19
United States of America,2020,223838,3127,,,,323015991.99999994,covid19
Uruguay,2020,833,0,Uruguay,-56.01807053,-32.79951534,3424139.0,covid19
Uzbekistan,2020,270,0,Uzbekistan,63.14001528,41.75554225,31441752.999999996,covid19
Venezuela (Bolivarian Republic of),2020,483,0,,,,29851249.0,covid19
Viet Nam,2020,1696,0,,,,93640435.0,covid19
Zambia,2020,17,0,Zambia,27.77475946,-13.45824152,16363448.999999998,covid19
Zimbabwe,2020,13,2,Zimbabwe,29.8514412,-19.00420419,14030338.0,covid19
